Date ∇,"Ave. T.
(ºC)","Max. T.
(ºC)","Min. T.
(ºC)","Prec.
(mm)","S.L.Press./
Gheopot.",Wind dir,"Wind sp.
(Km/h)",Cloud c.
30/06/2020,18.6,20.0,17.2,4.8,1012.2 Hpa,33º(NE),13,8/8
29/06/2020,20.0,22.8,17.2,5.3,1008.4 Hpa,74º(E),13,8/8
28/06/2020,22.5,27.2,17.8,30.5,1006.6 Hpa,220º(SW),9,6/8
27/06/2020,23.1,28.3,17.8,0.5,1010.0 Hpa,191º(S),12,5/8
26/06/2020,24.7,30.0,19.4,0.0,1013.0 Hpa,208º(SW),16,4/8
25/06/2020,25.3,30.0,20.6,0.0,1011.5 Hpa,258º(W),16,5/8
24/06/2020,25.3,30.0,20.6,0.3,1005.4 Hpa,190º(S),17,6/8
23/06/2020,24.1,31.1,17.2,0.0,1010.8 Hpa,155º(SE),13,5/8
22/06/2020,19.2,21.7,16.7,0.0,1014.9 Hpa,100º(E),12,6/8
21/06/2020,24.8,30.6,18.9,0.0,1014.9 Hpa,194º(S),15,4/8
20/06/2020,28.3,33.3,23.3,0.0,1016.0 Hpa,237º(SW),16,4/8
19/06/2020,22.8,25.6,20.0,0.0,1018.5 Hpa,244º(SW),18,3/8
18/06/2020,23.9,31.1,16.7,0.0,1021.7 Hpa,196º(S),17,4/8
17/06/2020,18.1,22.8,13.3,0.0,1026.2 Hpa,119º(SE),10,2/8
16/06/2020,16.9,21.1,12.8,0.0,1029.3 Hpa,100º(E),10,3/8
15/06/2020,15.8,18.3,13.3,0.0,1030.6 Hpa,57º(NE),14,5/8
14/06/2020,15.3,18.9,11.7,0.0,1027.5 Hpa,28º(NE),18,3/8
13/06/2020,16.6,20.0,13.3,0.0,1019.1 Hpa,331º(NW),20,4/8
12/06/2020,23.6,28.9,18.3,0.0,1016.8 Hpa,212º(SW),16,6/8
11/06/2020,21.4,24.4,18.3,18.8,1016.8 Hpa,186º(S),18,8/8
10/06/2020,16.6,18.9,14.4,0.0,1017.3 Hpa,58º(NE),17,7/8
09/06/2020,20.9,26.7,15.0,0.0,1013.3 Hpa,35º(NE),8,6/8
08/06/2020,19.4,26.1,12.8,0.0,1013.5 Hpa,288º(W),15,4/8
07/06/2020,16.1,18.3,13.9,Tr,1008.6 Hpa,331º(NW),18,6/8
06/06/2020,23.9,31.7,16.1,3.6,1007.3 Hpa,224º(SW),18,6/8
05/06/2020,22.5,27.2,17.8,Tr,1011.5 Hpa,201º(S),18,8/8
04/06/2020,23.4,31.7,15.0,4.1,1006.7 Hpa,248º(W),13,4/8
03/06/2020,19.8,26.7,12.8,0.0,1004.6 Hpa,200º(S),12,7/8
02/06/2020,13.6,17.8,9.4,0.8,1016.1 Hpa,39º(NE),15,5/8
01/06/2020,13.1,17.8,8.3,0.0,1020.2 Hpa,312º(NW),17,4/8